Date,Price,Open,High,Low
1/12/2017,10953.7,10449.7,11033.2,10290.6
4/12/2017,11139.3,11033.2,11245.4,10953.7
5/12/2017,10608.9,11139.3,11139.3,10608.9
6/12/2017,10423.2,10608.9,10661.9,10317.1
7/12/2017,10821.1,10396.7,10874.1,10396.7
8/12/2017,11139.3,10980.2,11298.5,10927.1
11/12/2017,11192.4,10874.1,11722.8,10821.1
12/12/2017,11139.3,11325,11351.5,10608.9
13/12/2017,11325,11218.9,11563.7,11139.3
14/12/2017,11325,11351.5,11457.6,11271.9
15/12/2017,11351.5,11378,11563.7,11271.9
18/12/2017,11139.3,11431.1,11431.1,11139.3
19/12/2017,10874.1,11086.3,11112.8,10608.9
20/12/2017,11139.3,10953.7,11298.5,10847.6
21/12/2017,11431.1,11139.3,11431.1,11086.3
22/12/2017,11086.3,11298.5,11325,11059.8
25/12/2017,10821.1,11033.2,11245.4,10821.1
26/12/2017,10741.5,10821.1,10900.6,10715
27/12/2017,10741.5,10741.5,10874.1,10715
28/12/2017,10821.1,10741.5,10900.6,10582.4
29/12/2017,10927.1,10874.1,11059.8,10794.5
2/1/2018,11033.2,11006.7,11059.8,10927.1
3/1/2018,11457.6,11059.8,11563.7,11033.2
4/1/2018,12094.1,11590.2,12253.3,11537.2
5/1/2018,12094.1,12279.8,12545,11935
8/1/2018,12200.2,12094.1,12412.4,11988
9/1/2018,12624.6,12465.4,12677.6,12094.1
10/1/2018,12624.6,12730.7,12889.8,12438.9
11/1/2018,12571.5,12492,12677.6,12438.9
12/1/2018,12306.3,12730.7,12995.9,12200.2
15/01/2018,12465.4,12306.3,12624.6,12253.3
16/01/2018,12465.4,12518.5,12677.6,12200.2
17/01/2018,11988,12465.4,12465.4,11988
18/01/2018,12014.6,11828.9,12120.6,11537.2
19/01/2018,11935,12200.2,12279.8,11935
22/01/2018,11961.5,12067.6,12067.6,11802.4
25/01/2018,12200.2,11961.5,12465.4,11935
26/01/2018,12094.1,12332.8,12465.4,12094.1
29/01/2018,12094.1,12094.1,12200.2,11908.5
30/01/2018,12916.3,11775.9,12916.3,11775.9
31/01/2018,12014.6,13420.2,13818.1,12014.6
1/2/2018,12783.7,12412.4,12836.7,12306.3
2/2/2018,12677.6,12730.7,12783.7,12359.3
5/2/2018,11802.4,12492,12571.5,11802.4
6/2/2018,11086.3,11033.2,11722.8,10980.2
7/2/2018,11828.9,11616.7,11855.4,11404.5
8/2/2018,11881.9,11669.8,12147.2,11616.7
9/2/2018,11431.1,11112.8,11537.2,11086.3
12/2/2018,11988,11722.8,11988,11616.7
13/02/2018,12598,12200.2,12677.6,11988
21/02/2018,12624.6,12598,12969.4,12518.5
22/02/2018,12438.9,12518.5,12730.7,12412.4
23/02/2018,12651.1,12545,12651.1,12359.3
26/02/2018,12783.7,12730.7,13102,12704.1
27/02/2018,12651.1,12836.7,12889.8,12465.4
28/02/2018,12624.6,12598,12677.6,12545
1/3/2018,13367.2,12465.4,13499.8,12412.4
2/3/2018,14268.9,13261.1,14295.5,13102
5/3/2018,13897.6,14322,14640.3,13897.6
