Date,Price,Open,High,Low
1/12/2017,13928.5,13625.2,14105.5,13574.6
4/12/2017,14712.2,14054.9,14813.3,13979.1
5/12/2017,14257.2,14661.6,14712.2,14156.1
6/12/2017,14130.8,14206.6,14257.2,13625.2
7/12/2017,13701,14130.8,14156.1,13599.9
8/12/2017,13751.6,13751.6,13953.8,13574.6
11/12/2017,13043.8,13599.9,13701,13043.8
12/12/2017,13372.4,13144.9,13372.4,12563.5
13/12/2017,13246,13372.4,13448.2,13119.6
14/12/2017,13473.5,13220.7,13498.8,13220.7
15/12/2017,13701,13599.9,13852.7,13372.4
18/12/2017,13903.3,13953.8,14029.7,13802.1
19/12/2017,14080.2,14004.4,14231.9,13953.8
20/12/2017,14156.1,14156.1,14383.6,14054.9
21/12/2017,13953.8,14156.1,14282.4,13953.8
22/12/2017,13928.5,13852.7,14080.2,13776.9
25/12/2017,14080.2,13953.8,14206.6,13953.8
26/12/2017,14156.1,14156.1,14257.2,14105.5
27/12/2017,14004.4,14181.3,14282.4,14004.4
28/12/2017,14484.7,14130.8,14535.2,14080.2
29/12/2017,14560.5,14686.9,14838.6,14510
2/1/2018,14712.2,14611.1,14813.3,14611.1
3/1/2018,15268.3,14813.3,15268.3,14762.7
4/1/2018,15217.8,15318.9,15420,15167.2
5/1/2018,14611.1,15268.3,15318.9,14611.1
8/1/2018,14914.4,14611.1,14914.4,14459.4
9/1/2018,15066.1,15167.2,15268.3,14838.6
10/1/2018,15344.1,15243,15571.7,15116.6
11/1/2018,15318.9,15344.1,15394.7,15066.1
12/1/2018,15824.4,15420,16052,15318.9
15/01/2018,16153.1,15875,16279.5,15571.7
16/01/2018,16102.5,15976.1,16228.9,15799.2
17/01/2018,15420,16077.2,16153.1,15420
18/01/2018,15925.6,15217.8,15925.6,15015.5
19/01/2018,16431.1,16026.7,16557.5,15925.6
22/01/2018,17290.6,16683.9,17341.2,16582.8
25/01/2018,17897.3,17189.5,18352.3,17189.5
26/01/2018,17846.7,18049,18352.3,17442.3
29/01/2018,18504,17846.7,18756.8,17796.2
30/01/2018,18453.4,17998.4,18529.3,17947.9
31/01/2018,17240,18453.4,18680.9,17240
1/2/2018,17467.6,17695.1,17947.9,17240
