Date,Price,Open,High,Low,Vol.,Change %
1/12/2017,16511.90,16477.20,16615.90,16338.40,1.06M,1.28%
4/12/2017,16997.50,16720.00,17309.70,16615.90,1.60M,2.94%
5/12/2017,16303.70,16997.50,16997.50,16303.70,2.36M,-4.08%
6/12/2017,16234.40,16234.40,16373.10,15748.70,2.62M,-0.43%
7/12/2017,15818.10,16303.70,16338.40,15679.30,1.07M,-2.56%
8/12/2017,15783.40,15748.70,16026.20,15610.00,933.06K,-0.22%
11/12/2017,14985.60,15471.20,15610.00,14985.60,1.57M,-5.05%
12/12/2017,14846.80,15124.30,15193.70,14014.30,2.06M,-0.93%
13/12/2017,14812.10,14985.60,15124.30,14534.60,926.81K,-0.23%
14/12/2017,15228.40,14846.80,15228.40,14846.80,1.13M,2.81%
15/12/2017,15263.10,15228.40,15332.50,15089.60,1.08M,0.23%
18/12/2017,15714.00,15610.00,15887.50,15401.80,2.28M,2.95%
19/12/2017,16373.10,15922.20,16442.50,15783.40,2.63M,4.19%
20/12/2017,16442.50,16477.20,16720.00,16234.40,2.13M,0.42%
21/12/2017,16338.40,16442.50,16546.60,16303.70,878.05K,-0.63%
22/12/2017,16407.80,16199.70,16477.20,16130.30,1.07M,0.42%
25/12/2017,16720.00,16407.80,16858.80,16373.10,1.40M,1.90%
26/12/2017,16650.60,16858.80,16858.80,16511.90,902.80K,-0.42%
27/12/2017,16928.10,16858.80,17205.70,16789.40,2.38M,1.67%
28/12/2017,18107.60,17136.30,18107.60,16928.10,4.16M,6.97%
29/12/2017,18315.70,18246.30,18662.60,18107.60,2.32M,1.15%
2/1/2018,18523.80,18315.70,18593.20,18315.70,1.11M,1.14%
3/1/2018,18593.20,18523.80,18905.40,18419.80,2.55M,0.37%
4/1/2018,18732.00,18593.20,18801.30,18489.10,1.58M,0.75%
5/1/2018,18211.60,18732.00,18801.30,18107.60,1.79M,-2.78%
8/1/2018,18732.00,18038.20,18801.30,17830.10,2.34M,2.86%
9/1/2018,19009.50,19356.40,19356.40,18697.30,1.43M,1.48%
10/1/2018,19078.90,19113.50,19252.30,18801.30,1.79M,0.37%
11/1/2018,18870.70,18940.10,19078.90,18593.20,1.63M,-1.09%
12/1/2018,19148.20,19044.20,19564.50,18974.80,2.24M,1.47%
15/01/2018,19599.20,19148.20,19703.30,18974.80,1.65M,2.36%
16/01/2018,19599.20,19495.10,19703.30,19356.40,1.40M,0.00%
17/01/2018,18523.80,19564.50,19703.30,18523.80,2.22M,-5.49%
18/01/2018,19078.90,18107.60,19078.90,17830.10,2.02M,3.00%
19/01/2018,19217.60,19182.90,19425.70,19078.90,1.20M,0.73%
22/01/2018,19842.00,19495.10,20223.60,19425.70,2.79M,3.25%
25/01/2018,20466.40,20119.50,20813.30,19911.40,3.73M,3.15%
26/01/2018,20293.00,20813.30,20813.30,20015.40,2.20M,-0.85%
29/01/2018,20674.50,20397.00,21160.20,20258.30,2.00M,1.88%
30/01/2018,21992.70,20397.00,21992.70,20327.60,2.08M,6.38%
31/01/2018,20813.30,22131.50,22409.00,20813.30,2.44M,-5.36%
1/2/2018,19633.90,20813.30,21021.40,19564.50,3.81M,-5.67%
2/2/2018,20084.80,19772.60,20084.80,19148.20,2.20M,2.30%
5/2/2018,18697.30,19495.10,19737.90,18697.30,2.79M,-6.91%
6/2/2018,18315.70,17413.80,18697.30,17413.80,4.06M,-2.04%
7/2/2018,19564.50,19078.90,19564.50,19078.90,2.57M,6.82%
8/2/2018,19425.70,19425.70,20258.30,19217.60,1.22M,-0.71%
9/2/2018,19772.60,18315.70,19772.60,18315.70,1.36M,1.79%
12/2/2018,20466.40,20362.30,20466.40,19842.00,1.20M,3.51%
13/02/2018,20535.80,20605.20,20917.40,20466.40,1.31M,0.34%
21/02/2018,21125.50,20813.30,21264.20,20709.20,1.79M,2.87%
22/02/2018,20466.40,20813.30,21056.10,20258.30,1.61M,-3.12%
23/02/2018,20778.60,20674.50,20813.30,20119.50,2.01M,1.53%
26/02/2018,21854.00,21090.80,22166.20,21090.80,5.05M,5.18%
27/02/2018,23380.60,22931.00,23380.60,22436.40,3.59M,6.99%
28/02/2018,24459.70,23020.90,24909.30,22751.10,1.65M,4.62%
1/3/2018,24010.10,23920.10,24639.50,23380.60,1.88M,-1.84%
2/3/2018,23830.20,23380.60,24055.00,23380.60,1.36M,-0.75%
5/3/2018,22166.60,24100.00,24189.90,22166.60,2.01M,-6.98%
6/3/2018,23695.30,22751.10,23695.30,22211.60,1.45M,6.90%
7/3/2018,24729.50,24189.90,25314.00,24100.00,3.77M,4.36%
8/3/2018,24684.50,24729.50,25089.20,24369.80,830.95K,-0.18%
9/3/2018,24729.50,25179.10,25448.90,24639.50,1.46M,0.18%
12/3/2018,24279.80,24999.20,24999.20,24189.90,948.24K,-1.82%
13/03/2018,24639.50,24549.60,24684.50,24189.90,850.47K,1.48%
14/03/2018,25493.80,25089.20,25718.60,25089.20,2.10M,3.47%
15/03/2018,26258.20,25493.80,26258.20,25358.90,1.91M,3.00%
16/03/2018,26213.20,26258.20,26528.00,25988.40,2.81M,-0.17%
19/03/2018,26528.00,26707.80,26887.70,26213.20,1.53M,1.20%
20/03/2018,26123.30,26078.30,26707.80,26078.30,1.36M,-1.53%
21/03/2018,25808.60,26213.20,26438.00,25718.60,1.49M,-1.20%
22/03/2018,24819.40,25898.50,25898.50,24100.00,5.62M,-3.83%
23/03/2018,24189.90,23650.40,24459.70,23650.40,2.29M,-2.54%
26/03/2018,25628.70,24189.90,25628.70,24100.00,1.48M,5.95%
27/03/2018,25179.10,25673.70,25673.70,24954.30,2.59M,-1.75%
